,country,train_loss,valid_loss,loss
0,Brazil,22794.38801708172,13563.709911838034,21473.092035528163
1,Colombia,4332.690053829989,2925.042471380331,4228.958276602097
2,Argentina,3020.01727960146,8511.749347790641,3191.099275495204
3,Czechia,2055.2314663783322,4671.417112642965,2099.074383972773
4,Canada,1232.0684749093984,1758.1676280404959,1228.0896659402813
5,Chile,1068.2686337835141,0.0,1068.2686337835141
6,Belgium,1136.8680240797444,2272.8999999999996,1170.7794263460205
7,Bangladesh,726.9148393713002,0.0,726.9148393713002
8,Austria,475.35459416264763,1315.491942019925,500.33205832032496
9,Belarus,362.89506598222033,801.6944138909164,377.00436977349676
10,Croatia,264.80735661966224,461.30058422436576,270.9096307688767
11,Azerbaijan,242.1558381977359,162.38226399427313,239.62334377857826
12,Bolivia,532.0013622066135,497.15755461157204,523.7783411659497
13,Bulgaria,274.2680663667033,555.5772021024547,282.3098192829392
14,Costa Rica,556.4779972346665,310.75939903545884,552.503171732582
15,Armenia,263.4156167126584,107.53832214885566,258.5747069435962
16,Bosnia and Herzegovina,182.80691116751183,325.61553405207303,187.28367050558586
17,Algeria,203.4944389237363,229.00677943861933,204.29169956482644
18,Bahrain,188.572162835509,497.48234138082114,197.90479662841875
